Line #,alphaTrack,alphaField,betaTrack,betaField,deltaTrack,deltaField,gammaTrack,gammaField,x,id,name,houseChoice,house,regChoice,regType,totalAlpha,totalBeta,totalDelta,totalGamma,Expected Output
27,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,,,,,,  2. Field
28,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,,,,,,Registration choice entered: 1
29,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,Registration type set to: TRACK
30,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,If (house = ALPHA) Then
31,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,alphaTrack updated to 50
32,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,
33,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,, Registration Successful!
34,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,  Name : Alice
35,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,  House: ALPHA
36,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,-------------------------------------------------
37,50,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,TRACK,,,,,
38,50,0,0,0,0,0,0,0,2,ST001,Alice,1,ALPHA,1,TRACK,,,,,─[ Registering Student 2 of 12 ]─
39,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Enter Student ID: 
40,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Student ID entered: ST002
41,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Enter Full Name: 
42,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Full Name entered: Bob
43,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Select House:
44,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,  1. Alpha
45,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,  2. Beta
46,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,  3. Delta
47,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,  4. Gamma
48,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,House choice entered: 1
49,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,House set to: ALPHA
50,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Select Registration Type:
51,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,  1. Track
52,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,  2. Field
53,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,TRACK,,,,,Registration choice entered: 2
54,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,Registration type set to: FIELD
55,50,0,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,If (house = ALPHA) Then
56,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,alphaField updated to 40
57,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,
58,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,, Registration Successful!
59,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,  Name : Bob
60,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,  House: ALPHA
61,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,-------------------------------------------------
62,50,40,0,0,0,0,0,0,2,ST002,Bob,1,ALPHA,2,FIELD,,,,,
63,50,40,0,0,0,0,0,0,3,ST002,Bob,1,ALPHA,2,FIELD,,,,,─[ Registering Student 3 of 12 ]─
64,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,Enter Student ID: 
65,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,Student ID entered: ST003
66,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,Enter Full Name: 
67,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,Full Name entered: Cara
68,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,Select House:
69,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,  1. Alpha
70,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,  2. Beta
71,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,  3. Delta
72,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,  4. Gamma
73,50,40,0,0,0,0,0,0,3,ST003,Cara,2,ALPHA,1,FIELD,,,,,House choice entered: 2
74,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,FIELD,,,,,House set to: BETA
75,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,FIELD,,,,,Select Registration Type:
76,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,FIELD,,,,,  1. Track
77,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,FIELD,,,,,  2. Field
78,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,FIELD,,,,,Registration choice entered: 1
79,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,Registration type set to: TRACK
80,50,40,0,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,If (house = BETA) Then
81,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,betaTrack updated to 50
82,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,
83,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,, Registration Successful!
84,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,  Name : Cara
85,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,  House: BETA
86,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,-------------------------------------------------
87,50,40,50,0,0,0,0,0,3,ST003,Cara,2,BETA,1,TRACK,,,,,
88,50,40,50,0,0,0,0,0,4,ST003,Cara,2,BETA,1,TRACK,,,,,─[ Registering Student 4 of 12 ]─
89,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,Enter Student ID: 
90,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,Student ID entered: ST004
91,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,Enter Full Name: 
92,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,Full Name entered: David
93,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,Select House:
94,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,  1. Alpha
95,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,  2. Beta
96,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,  3. Delta
97,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,  4. Gamma
98,50,40,50,0,0,0,0,0,4,ST004,David,3,BETA,1,TRACK,,,,,House choice entered: 3
99,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,House set to: DELTA
100,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,Select Registration Type:
101,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,  1. Track
102,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,  2. Field
103,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,Registration choice entered: 1
104,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,Registration type set to: TRACK
105,50,40,50,0,0,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,If (house = DELTA) Then
106,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,deltaTrack updated to 50
107,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,
108,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,, Registration Successful!
109,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,  Name : David
110,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,  House: DELTA
111,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,-------------------------------------------------
112,50,40,50,0,50,0,0,0,4,ST004,David,3,DELTA,1,TRACK,,,,,
113,50,40,50,0,50,0,0,0,5,ST004,David,3,DELTA,1,TRACK,,,,,─[ Registering Student 5 of 12 ]─
114,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Enter Student ID: 
115,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Student ID entered: ST005
116,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Enter Full Name: 
117,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Full Name entered: Eva
118,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Select House:
119,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,  1. Alpha
120,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,  2. Beta
121,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,  3. Delta
122,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,  4. Gamma
123,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,House choice entered: 3
124,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,House set to: DELTA
125,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Select Registration Type:
126,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,  1. Track
127,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,  2. Field
128,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,TRACK,,,,,Registration choice entered: 2
129,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,Registration type set to: FIELD
130,50,40,50,0,50,0,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,If (house = DELTA) Then
131,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,deltaField updated to 40
132,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,
133,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,, Registration Successful!
134,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,  Name : Eva
135,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,  House: DELTA
136,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,-------------------------------------------------
137,50,40,50,0,50,40,0,0,5,ST005,Eva,3,DELTA,2,FIELD,,,,,
138,50,40,50,0,50,40,0,0,6,ST005,Eva,3,DELTA,2,FIELD,,,,,─[ Registering Student 6 of 12 ]─
139,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,Enter Student ID: 
140,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,Student ID entered: ST006
141,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,Enter Full Name: 
142,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,Full Name entered: Frank
143,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,Select House:
144,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,  1. Alpha
145,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,  2. Beta
146,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,  3. Delta
147,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,  4. Gamma
148,50,40,50,0,50,40,0,0,6,ST006,Frank,2,DELTA,2,FIELD,,,,,House choice entered: 2
149,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,House set to: BETA
150,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,Select Registration Type:
151,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,  1. Track
152,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,  2. Field
153,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,Registration choice entered: 2
154,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,Registration type set to: FIELD
155,50,40,50,0,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,If (house = BETA) Then
156,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,betaField updated to 40
157,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,
158,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,, Registration Successful!
159,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,  Name : Frank
160,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,  House: BETA
161,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,-------------------------------------------------
162,50,40,50,40,50,40,0,0,6,ST006,Frank,2,BETA,2,FIELD,,,,,
163,50,40,50,40,50,40,0,0,7,ST006,Frank,2,BETA,2,FIELD,,,,,─[ Registering Student 7 of 12 ]─
164,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,Enter Student ID: 
165,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,Student ID entered: ST007
166,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,Enter Full Name: 
167,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,Full Name entered: Grace
168,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,Select House:
169,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,  1. Alpha
170,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,  2. Beta
171,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,  3. Delta
172,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,  4. Gamma
173,50,40,50,40,50,40,0,0,7,ST007,Grace,4,BETA,1,FIELD,,,,,House choice entered: 4
174,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,FIELD,,,,,House set to: GAMMA
175,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,FIELD,,,,,Select Registration Type:
176,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,FIELD,,,,,  1. Track
177,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,FIELD,,,,,  2. Field
178,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,FIELD,,,,,Registration choice entered: 1
179,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,Registration type set to: TRACK
180,50,40,50,40,50,40,0,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,If (house = GAMMA) Then
181,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,gammaTrack updated to 50
182,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,
183,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,, Registration Successful!
184,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,  Name : Grace
185,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,  House: GAMMA
186,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,-------------------------------------------------
187,50,40,50,40,50,40,50,0,7,ST007,Grace,4,GAMMA,1,TRACK,,,,,
188,50,40,50,40,50,40,50,0,8,ST007,Grace,4,GAMMA,1,TRACK,,,,,─[ Registering Student 8 of 12 ]─
189,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Enter Student ID: 
190,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Student ID entered: ST008
191,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Enter Full Name: 
192,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Full Name entered: Henry
193,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Select House:
194,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,  1. Alpha
195,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,  2. Beta
196,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,  3. Delta
197,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,  4. Gamma
198,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,House choice entered: 4
199,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,House set to: GAMMA
200,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Select Registration Type:
201,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,  1. Track
202,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,  2. Field
203,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,TRACK,,,,,Registration choice entered: 2
204,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,Registration type set to: FIELD
205,50,40,50,40,50,40,50,0,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,If (house = GAMMA) Then
206,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,gammaField updated to 40
207,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,
208,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,, Registration Successful!
209,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,  Name : Henry
210,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,  House: GAMMA
211,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,-------------------------------------------------
212,50,40,50,40,50,40,50,40,8,ST008,Henry,4,GAMMA,2,FIELD,,,,,
213,50,40,50,40,50,40,50,40,9,ST008,Henry,4,GAMMA,2,FIELD,,,,,─[ Registering Student 9 of 12 ]─
214,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,Enter Student ID: 
215,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,Student ID entered: ST009
216,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,Enter Full Name: 
217,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,Full Name entered: Isla
218,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,Select House:
219,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,  1. Alpha
220,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,  2. Beta
221,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,  3. Delta
222,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,  4. Gamma
223,50,40,50,40,50,40,50,40,9,ST009,Isla,1,GAMMA,1,FIELD,,,,,House choice entered: 1
224,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,FIELD,,,,,House set to: ALPHA
225,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,FIELD,,,,,Select Registration Type:
226,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,FIELD,,,,,  1. Track
227,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,FIELD,,,,,  2. Field
228,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,FIELD,,,,,Registration choice entered: 1
229,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,Registration type set to: TRACK
230,50,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,If (house = ALPHA) Then
231,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,alphaTrack updated to 100
232,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,
233,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,, Registration Successful!
234,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,  Name : Isla
235,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,  House: ALPHA
236,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,-------------------------------------------------
237,100,40,50,40,50,40,50,40,9,ST009,Isla,1,ALPHA,1,TRACK,,,,,
238,100,40,50,40,50,40,50,40,10,ST009,Isla,1,ALPHA,1,TRACK,,,,,─[ Registering Student 10 of 12 ]─
239,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,Enter Student ID: 
240,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,Student ID entered: ST010
241,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,Enter Full Name: 
242,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,Full Name entered: Jack
243,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,Select House:
244,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,  1. Alpha
245,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,  2. Beta
246,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,  3. Delta
247,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,  4. Gamma
248,100,40,50,40,50,40,50,40,10,ST010,Jack,2,ALPHA,2,TRACK,,,,,House choice entered: 2
249,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,TRACK,,,,,House set to: BETA
250,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,TRACK,,,,,Select Registration Type:
251,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,TRACK,,,,,  1. Track
252,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,TRACK,,,,,  2. Field
253,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,TRACK,,,,,Registration choice entered: 2
254,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,Registration type set to: FIELD
255,100,40,50,40,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,If (house = BETA) Then
256,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,betaField updated to 80
257,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,
258,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,, Registration Successful!
