Line #,alphaTrack,alphaField,betaTrack,betaField,deltaTrack,deltaField,gammaTrack,gammaField,x,id,name,houseChoice,house,regChoice,totalAlpha,totalBeta,totalDelta,totalGamma,totalAlphaPersons,totalBetaPersons,totalDeltaPersons,totalGammaPersons,Expected Output
26,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Case houseChoice Of
27,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,1: house := 'ALPHA' = ALPHA
31,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('Select Registration Type:')
32,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('  1. Track ($50 USD)')
33,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('  2. Field ($40 USD)')
34,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Write('Enter choice (1-2): ')
35,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Readln(regChoice) = 2
38,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Until (regChoice = 1) OR (regChoice = 2)
39,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Case houseChoice Of
40,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,1:
42,0,80,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Else alphaField := alphaField + 40 = 80
52,0,80,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('Registration Successful!')
53,0,80,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,"Writeln('  Name : ', name, ' | House: ', house) = Phoenix Boodoosingh | ALPHA"
10,0,80,0,0,0,0,0,0,3,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,For x := 1 To 12 Do
11,0,80,0,0,0,0,0,0,3,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('-----[ Registering Student 3 of 12 ]-----')
12,0,80,0,0,0,0,0,0,3,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Write('Enter Student ID: ')
13,0,80,0,0,0,0,0,0,3,2011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Readln(id) = 2011
14,0,80,0,0,0,0,0,0,3,2011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Write('Enter Full Name: ')
15,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Readln(name) = Fayad Winston
16,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Writeln('Select House:')
17,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Writeln('  1. Alpha')
18,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Writeln('  2. Beta')
19,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Writeln('  3. Delta')
20,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Writeln('  4. Gamma')
21,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,1,ALPHA,2,,,,,,,,,Write('Enter choice (1-4): ')
22,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,ALPHA,2,,,,,,,,,Readln(houseChoice) = 2
25,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,ALPHA,2,,,,,,,,,Until (houseChoice >= 1) AND (houseChoice <= 4)
26,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,ALPHA,2,,,,,,,,,Case houseChoice Of
28,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,2,,,,,,,,,2: house := 'BETA' = BETA
31,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,2,,,,,,,,,Writeln('Select Registration Type:')
32,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,2,,,,,,,,,Writeln('  1. Track ($50 USD)')
33,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,2,,,,,,,,,Writeln('  2. Field ($40 USD)')
34,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,2,,,,,,,,,Write('Enter choice (1-2): ')
35,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,Readln(regChoice) = 1
38,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,Until (regChoice = 1) OR (regChoice = 2)
39,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,Case houseChoice Of
43,0,80,0,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,2:
44,0,80,50,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,If regChoice = 1 Then betaTrack := betaTrack + 50 = 50
52,0,80,50,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,Writeln('Registration Successful!')
53,0,80,50,0,0,0,0,0,3,2011,Fayad Winston,2,BETA,1,,,,,,,,,"Writeln('  Name : ', name, ' | House: ', house) = Fayad Winston | BETA"
10,0,80,50,0,0,0,0,0,4,2011,Fayad Winston,2,BETA,1,,,,,,,,,For x := 1 To 12 Do
11,0,80,50,0,0,0,0,0,4,2011,Fayad Winston,2,BETA,1,,,,,,,,,Writeln('-----[ Registering Student 4 of 12 ]-----')
12,0,80,50,0,0,0,0,0,4,2011,Fayad Winston,2,BETA,1,,,,,,,,,Write('Enter Student ID: ')
13,0,80,50,0,0,0,0,0,4,2010,Fayad Winston,2,BETA,1,,,,,,,,,Readln(id) = 2010
14,0,80,50,0,0,0,0,0,4,2010,Fayad Winston,2,BETA,1,,,,,,,,,Write('Enter Full Name: ')
15,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Readln(name) = Lora-Leigh Boodoosingh
16,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('Select House:')
17,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('  1. Alpha')
18,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('  2. Beta')
19,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('  3. Delta')
20,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('  4. Gamma')
21,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Write('Enter choice (1-4): ')
22,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Readln(houseChoice) = 2
25,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Until (houseChoice >= 1) AND (houseChoice <= 4)
26,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Case houseChoice Of
28,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,2: house := 'BETA' = BETA
31,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('Select Registration Type:')
32,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('  1. Track ($50 USD)')
33,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Writeln('  2. Field ($40 USD)')
34,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,1,,,,,,,,,Write('Enter choice (1-2): ')
35,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Readln(regChoice) = 2
38,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Until (regChoice = 1) OR (regChoice = 2)
39,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Case houseChoice Of
43,0,80,50,0,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,2:
45,0,80,50,40,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Else betaField := betaField + 40 = 40
52,0,80,50,40,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Writeln('Registration Successful!')
53,0,80,50,40,0,0,0,0,4,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,"Writeln('  Name : ', name, ' | House: ', house) = Lora-Leigh Boodoosingh | BETA"
10,0,80,50,40,0,0,0,0,5,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,For x := 1 To 12 Do
11,0,80,50,40,0,0,0,0,5,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Writeln('-----[ Registering Student 5 of 12 ]-----')
12,0,80,50,40,0,0,0,0,5,2010,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Write('Enter Student ID: ')
13,0,80,50,40,0,0,0,0,5,3012,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Readln(id) = 3012
14,0,80,50,40,0,0,0,0,5,3012,Lora-Leigh Boodoosingh,2,BETA,2,,,,,,,,,Write('Enter Full Name: ')
15,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Readln(name) = Tilak Yadav
16,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Writeln('Select House:')
17,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Writeln('  1. Alpha')
18,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Writeln('  2. Beta')
19,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Writeln('  3. Delta')
20,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Writeln('  4. Gamma')
21,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,2,BETA,2,,,,,,,,,Write('Enter choice (1-4): ')
22,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,BETA,2,,,,,,,,,Readln(houseChoice) = 3
25,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,BETA,2,,,,,,,,,Until (houseChoice >= 1) AND (houseChoice <= 4)
26,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,BETA,2,,,,,,,,,Case houseChoice Of
29,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,2,,,,,,,,,3: house := 'DELTA' = DELTA
31,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,2,,,,,,,,,Writeln('Select Registration Type:')
32,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,2,,,,,,,,,Writeln('  1. Track ($50 USD)')
33,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,2,,,,,,,,,Writeln('  2. Field ($40 USD)')
34,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,2,,,,,,,,,Write('Enter choice (1-2): ')
35,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,Readln(regChoice) = 1
38,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,Until (regChoice = 1) OR (regChoice = 2)
39,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,Case houseChoice Of
46,0,80,50,40,0,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,3:
47,0,80,50,40,50,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,If regChoice = 1 Then deltaTrack := deltaTrack + 50 = 50
52,0,80,50,40,50,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,Writeln('Registration Successful!')
53,0,80,50,40,50,0,0,0,5,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,"Writeln('  Name : ', name, ' | House: ', house) = Tilak Yadav | DELTA"
10,0,80,50,40,50,0,0,0,6,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,For x := 1 To 12 Do
11,0,80,50,40,50,0,0,0,6,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,Writeln('-----[ Registering Student 6 of 12 ]-----')
12,0,80,50,40,50,0,0,0,6,3012,Tilak Yadav,3,DELTA,1,,,,,,,,,Write('Enter Student ID: ')
13,0,80,50,40,50,0,0,0,6,4005,Tilak Yadav,3,DELTA,1,,,,,,,,,Readln(id) = 4005
14,0,80,50,40,50,0,0,0,6,4005,Tilak Yadav,3,DELTA,1,,,,,,,,,Write('Enter Full Name: ')
15,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Readln(name) = Jigness Maharaj
16,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Writeln('Select House:')
17,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Writeln('  1. Alpha')
18,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Writeln('  2. Beta')
19,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Writeln('  3. Delta')
20,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Writeln('  4. Gamma')
21,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,3,DELTA,1,,,,,,,,,Write('Enter choice (1-4): ')
22,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,DELTA,1,,,,,,,,,Readln(houseChoice) = 4
25,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,DELTA,1,,,,,,,,,Until (houseChoice >= 1) AND (houseChoice <= 4)
26,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,DELTA,1,,,,,,,,,Case houseChoice Of
30,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,1,,,,,,,,,4: house := 'GAMMA' = GAMMA
31,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,1,,,,,,,,,Writeln('Select Registration Type:')
32,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,1,,,,,,,,,Writeln('  1. Track ($50 USD)')
33,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,1,,,,,,,,,Writeln('  2. Field ($40 USD)')
34,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,1,,,,,,,,,Write('Enter choice (1-2): ')
35,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,Readln(regChoice) = 2
38,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,Until (regChoice = 1) OR (regChoice = 2)
39,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,Case houseChoice Of
49,0,80,50,40,50,0,0,0,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,4:
51,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,Else gammaField := gammaField + 40 = 40
52,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,Writeln('Registration Successful!')
53,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,,,,,,,,,"Writeln('  Name : ', name, ' | House: ', house) = Jigness Maharaj | GAMMA"
54,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,,,,,,,,totalAlpha := alphaTrack + alphaField = 80
55,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,,,,,,,totalBeta := betaTrack + betaField = 90
56,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,,,,,,totalDelta := deltaTrack + deltaField = 50
57,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,,,,,totalGamma := gammaTrack + gammaField = 40
58,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,,,,totalAlphaPersons := Trunc(alphaTrack / 50) + Trunc(alphaField / 40) = 2
59,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,,,totalBetaPersons := Trunc(betaTrack / 50) + Trunc(betaField / 40) = 2
60,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,,totalDeltaPersons := Trunc(deltaTrack / 50) + Trunc(deltaField / 40) = 1
61,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,totalGammaPersons := Trunc(gammaTrack / 50) + Trunc(gammaField / 40) = 1
62,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,Writeln('           FINAL REGISTRATION SUMMARY            ')
63,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,Writeln('  ALPHA HOUSE')
64,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Number of Persons in House: ', totalAlphaPersons) = 2"
65,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Total: $', totalAlpha:0:2, ' USD') = $80.00 USD"
66,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,Writeln('  BETA HOUSE')
67,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Number of Persons in House: ', totalBetaPersons) = 2"
68,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Total: $', totalBeta:0:2, ' USD') = $90.00 USD"
69,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,Writeln('  DELTA HOUSE')
70,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Number of Persons in House: ', totalDeltaPersons) = 1"
71,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Total: $', totalDelta:0:2, ' USD') = $50.00 USD"
72,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,Writeln('  GAMMA HOUSE')
73,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Number of Persons in House: ', totalGammaPersons) = 1"
74,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,"Writeln('  Total: $', totalGamma:0:2, ' USD') = $40.00 USD"
75,0,80,50,40,50,0,0,40,6,4005,Jigness Maharaj,4,GAMMA,2,80,90,50,40,2,2,1,1,Writeln('      Thank you for using the system. Goodbye!   ')
